Group,GAIA_Source_ID,RA_HMS,DEC_DMS,RA_deg,DEC_deg,Jmag,Offset_arcmin
1,2162237208571277568,20h59m00.50328s,+44d17m59.4816s,314.752097,44.299856,7.672999858856201,0.897549076446052
2,2162235662383047040,20h58m53.72976s,+44d15m28.3248s,314.723874,44.257868,8.048999786376953,3.5118406244210485
3,2162237517808917504,20h59m14.61024s,+44d19m39.3384s,314.810876,44.327594,11.902999877929688,2.150601594154642
3,2162237792686836096,20h59m07.56696s,+44d21m01.6776s,314.781529,44.350466,11.805999755859377,2.735105152711413
4,2162237311650493440,20h59m04.32672s,+44d18m56.0916s,314.768028,44.315581,12.767000198364258,0.6256342359292251
4,2162237066825562112,20h59m11.87496s,+44d17m34.1736s,314.799479,44.292826,13.218999862670898,1.4209735819116274
4,2162237517808917120,20h59m12.45336s,+44d18m59.8896s,314.801889,44.316636,12.888999938964844,1.4678532888382976
4,2162235761155771136,20h58m53.1888s,+44d17m15.99s,314.72162,44.287775,13.08199977874756,2.3895483146601526
4,2162237792686836608,20h59m07.87872s,+44d21m08.6616s,314.782828,44.352406,12.982999801635742,2.859073776569498
4,2162235593663578880,20h58m45.20328s,+44d15m33.9048s,314.688347,44.259418,12.939000129699709,4.514513245797543
5,2162237311650493312,20h59m03.32136s,+44d18m41.292s,314.763839,44.31147,13.612000465393066,0.4879774005009009
5,2162237105492054784,20h59m09.4248s,+44d17m53.052s,314.78927,44.29807,13.427000045776367,0.8829018454799332
5,2162237135545045120,20h59m11.7768s,+44d18m32.6088s,314.79907,44.309058,13.564000129699709,1.2041126865400762
5,2162237346010234368,20h59m06.14232s,+44d19m52.0644s,314.775593,44.331129,13.428000450134276,1.550751974893716
5,2162237380369975168,20h59m02.91336s,+44d19m50.574s,314.762139,44.330715,13.5600004196167,1.5680091951267494
5,2162235726793788928,20h58m49.95624s,+44d17m05.2656s,314.708151,44.284796,13.744999885559082,2.988823262693122
6,2162236998106084992,20h59m03.17496s,+44d17m27.0276s,314.763229,44.290841,14.104999542236328,0.9455409826025574
6,2162237036772577280,20h59m08.42712s,+44d17m33.306s,314.785113,44.292585,13.767999649047852,0.9687762027023504
6,2162237346010229376,20h59m08.30736s,+44d19m10.524s,314.784614,44.31959,13.765000343322754,1.0185842384626067
6,2162237346010233984,20h59m05.97696s,+44d19m45.372s,314.774904,44.32927,14.196999549865724,1.4366680894662536
6,2162237032463843200,20h59m08.5596s,+44d16m58.2744s,314.785665,44.282854,13.95400047302246,1.486346375585883
6,2162237788378265600,20h59m07.11672s,+44d21m28.1088s,314.779653,44.357808,13.836999893188477,3.1609311152993245
7,2162237307341813248,20h59m05.05584s,+44d18m56.286s,314.771066,44.315635,14.279000282287598,0.6113015996344338
7,2162237135543099648,20h59m10.9644s,+44d18m20.6064s,314.795685,44.305724,14.28600025177002,1.0393233735979397
7,2162237002404358656,20h59m05.45328s,+44d17m02.3928s,314.772722,44.283998,14.619000434875488,1.2882802007926912
7,2162237036772575744,20h59m09.35232s,+44d17m16.5012s,314.788968,44.287917,14.541999816894531,1.292530321547742
7,2162237174211535360,20h58m58.95288s,+44d16m37.956s,314.745637,44.27721,14.402000427246094,2.0256645613723077
7,2162235761155772672,20h58m53.93232s,+44d17m29.7636s,314.724718,44.291601,14.659000396728516,2.1733367546477638
7,2162236968053099776,20h59m02.3064s,+44d16m03.8136s,314.75961,44.267726,14.562000274658203,2.320230846494947
7,2162237792686839680,20h59m04.69344s,+44d20m59.3772s,314.769556,44.349827,14.70400047302246,2.663843661454872
8,2162237754018485248,20h59m13.8552s,+44d20m42.828s,314.80773,44.34523,14.414999961853027,2.849070741901527
8,2162235593663576960,20h58m44.38752s,+44d14m59.0676s,314.684948,44.249741,14.449000358581545,4.999161816197973
9,2162237307341801344,20h59m03.87288s,+44d18m35.2584s,314.766137,44.309794,14.8100004196167,0.3472445289342633
9,2162237135543095936,20h59m09.80712s,+44d18m14.1048s,314.790863,44.303918,14.95300006866455,0.83723047833622
9,2162237410421068672,20h59m03.59712s,+44d19m58.6524s,314.764988,44.332959,14.946000099182127,1.6738606936220877
9,2162237513500263296,20h59m12.06552s,+44d19m29.154s,314.800273,44.324765,15.17300033569336,1.6942796859618905
9,2162236963746342272,20h59m03.73176s,+44d16m38.5752s,314.765549,44.277382,14.770000457763672,1.703310418435658
9,2162237414729713664,20h59m05.32008s,+44d20m23.1504s,314.772167,44.339764,15.093000411987305,2.058989655345493
9,2162237758327090048,20h59m13.91952s,+44d20m34.2384s,314.807998,44.342844,14.758999824523926,2.736851267707043
10,2162237410421069696,20h59m05.25576s,+44d20m00.5712s,314.771899,44.333492,15.065999984741213,1.6825549971410587
11,2162235726791704960,20h58m49.10832s,+44d16m16.176s,314.704618,44.27116,14.984999656677246,3.5327884192479426
11,2162235628023316224,20h58m47.85672s,+44d15m56.2932s,314.699403,44.265637,14.928000450134276,3.910444357904667
12,2162236998107135488,20h59m05.33064s,+44d16m54.03s,314.772211,44.281675,15.723999977111816,1.4269030344768316
12,2162237444780764672,20h59m14.29368s,+44d18m54.414s,314.809557,44.315115,15.3149995803833,1.7344834832079132
12,2162237414721257216,20h59m04.47504s,+44d20m23.3088s,314.768646,44.339808,15.68299961090088,2.0650126224220533
12,2162237822738010880,20h59m08.50632s,+44d21m37.6668s,314.785443,44.360463,15.291000366210938,3.354658262170825
12,2162235589353158912,20h58m46.72224s,+44d15m19.8468s,314.694676,44.255513,15.506999969482422,4.456791239020778
13,2162237238624258560,20h58m54.55824s,+44d18m18.6408s,314.727326,44.305178,15.928000450134276,1.8960482631407587
13,2162236895027131264,20h59m03.46224s,+44d16m05.0988s,314.764426,44.268083,15.869999885559082,2.262472871409697
13,2162235421864872064,20h59m01.80072s,+44d15m34.0488s,314.757503,44.259458,16.242000579833984,2.8241563484177643
