Group,Arm_ID,Angle_deg,Radius_arcmin,Median_Jmag
1,A1,0.0,6.0,10.0600004196167
1,A2,45.0,6.0,10.0600004196167
1,A3,90.0,6.0,10.0600004196167
1,A4,135.0,6.0,10.0600004196167
1,A5,180.0,6.0,10.0600004196167
1,A6,241.01,1.07,10.0600004196167
1,A7,270.0,6.0,10.0600004196167
1,A8,315.0,6.0,10.0600004196167
2,A1,0.0,6.0,12.14799976348877
2,A2,45.0,6.0,12.14799976348877
2,A3,90.0,6.0,12.14799976348877
2,A4,135.0,6.0,12.14799976348877
2,A5,180.0,6.0,12.14799976348877
2,A6,225.0,6.0,12.14799976348877
2,A7,267.86,3.32,12.14799976348877
2,A8,315.0,6.0,12.14799976348877
3,A1,0.0,6.0,13.496000289916992
3,A2,72.19,3.71,13.496000289916992
3,A3,90.0,1.91,13.496000289916992
3,A4,135.0,6.0,13.496000289916992
3,A5,180.0,6.0,13.496000289916992
3,A6,225.0,6.0,13.496000289916992
3,A7,289.13,2.76,13.496000289916992
3,A8,315.0,6.0,13.496000289916992
4,A1,0.0,6.0,13.847000122070312
4,A2,45.0,6.0,13.847000122070312
4,A3,90.0,6.0,13.847000122070312
4,A4,135.0,6.0,13.847000122070312
4,A5,180.0,6.0,13.847000122070312
4,A6,225.0,6.0,13.847000122070312
4,A7,251.21,0.38,13.847000122070312
4,A8,315.0,6.0,13.847000122070312
5,A1,0.0,6.0,14.445500373840332
5,A2,45.0,6.0,14.445500373840332
5,A3,80.63,2.56,14.445500373840332
5,A4,113.56,1.04,14.445500373840332
5,A5,180.0,6.0,14.445500373840332
5,A6,225.0,6.0,14.445500373840332
5,A7,253.49,2.03,14.445500373840332
5,A8,293.78,1.05,14.445500373840332
6,A1,0.0,6.0,15.095000267028809
6,A2,45.0,6.0,15.095000267028809
6,A3,80.9,2.44,15.095000267028809
6,A4,135.0,6.0,15.095000267028809
6,A5,200.78,0.35,15.095000267028809
6,A6,225.0,6.0,15.095000267028809
6,A7,270.0,6.0,15.095000267028809
6,A8,292.9,2.31,15.095000267028809
7,A1,0.0,6.0,15.456000328063968
7,A2,103.61,0.38,15.456000328063968
7,A3,92.04,2.76,15.456000328063968
7,A4,108.69,1.42,15.456000328063968
7,A5,180.0,6.0,15.456000328063968
7,A6,268.01,1.47,15.456000328063968
7,A7,268.68,2.92,15.456000328063968
7,A8,312.34,1.62,15.456000328063968
8,A1,0.0,6.0,15.406000137329102
8,A2,45.0,6.0,15.406000137329102
8,A3,74.94,3.33,15.406000137329102
8,A4,135.0,6.0,15.406000137329102
8,A5,180.0,6.0,15.406000137329102
8,A6,225.0,6.0,15.406000137329102
8,A7,270.0,6.0,15.406000137329102
8,A8,315.0,6.0,15.406000137329102
9,A1,0.0,6.0,15.833999633789062
9,A2,45.0,6.0,15.833999633789062
9,A3,68.29,0.33,15.833999633789062
9,A4,116.71,1.69,15.833999633789062
9,A5,180.0,6.0,15.833999633789062
9,A6,285.65,0.74,15.833999633789062
9,A7,259.19,2.61,15.833999633789062
9,A8,313.57,1.8,15.833999633789062
10,A1,343.41,0.54,16.63599967956543
10,A2,45.0,6.0,16.63599967956543
10,A3,107.31,2.0,16.63599967956543
10,A4,135.0,6.0,16.63599967956543
10,A5,180.0,1.05,16.63599967956543
10,A6,225.0,6.0,16.63599967956543
10,A7,270.0,6.0,16.63599967956543
10,A8,315.0,6.0,16.63599967956543
11,A1,0.0,6.0,16.586999893188477
11,A2,67.19,3.11,16.586999893188477
11,A3,90.0,6.0,16.586999893188477
11,A4,135.0,6.0,16.586999893188477
11,A5,180.0,6.0,16.586999893188477
11,A6,225.0,6.0,16.586999893188477
11,A7,270.0,6.0,16.586999893188477
11,A8,315.0,6.0,16.586999893188477
12,A1,0.0,6.0,16.98799991607666
12,A2,69.99,3.03,16.98799991607666
12,A3,86.81,2.28,16.98799991607666
12,A4,100.24,1.16,16.98799991607666
12,A5,180.0,6.0,16.98799991607666
12,A6,225.0,6.0,16.98799991607666
12,A7,276.36,2.93,16.98799991607666
12,A8,315.0,6.0,16.98799991607666
