Group,Arm_ID,Angle_deg,Radius_arcmin,Median_Jmag
1,A1,0.0,0.0,8.457
1,A2,45.0,6.0,8.457
1,A3,90.0,6.0,8.457
1,A4,135.0,6.0,8.457
1,A5,180.0,6.0,8.457
1,A6,225.0,6.0,8.457
1,A7,270.0,6.0,8.457
1,A8,315.0,6.0,8.457
2,A1,0.0,0.0,8.851
2,A2,45.0,6.0,8.851
2,A3,90.0,6.0,8.851
2,A4,135.0,6.0,8.851
2,A5,180.0,6.0,8.851
2,A6,225.0,6.0,8.851
2,A7,270.0,6.0,8.851
2,A8,315.0,6.0,8.851
3,A1,0.0,0.0,10.324
3,A2,45.0,6.0,10.324
3,A3,90.0,6.0,10.324
3,A4,135.0,6.0,10.324
3,A5,180.0,6.0,10.324
3,A6,225.0,6.0,10.324
3,A7,270.0,6.0,10.324
3,A8,315.0,6.0,10.324
4,A1,0.0,6.0,11.01
4,A2,37.65,3.63,11.01
4,A3,109.12,0.62,11.01
4,A4,135.0,6.0,11.01
4,A5,180.0,6.0,11.01
4,A6,226.32,3.87,11.01
4,A7,270.0,6.0,11.01
4,A8,315.0,6.0,11.01
5,A1,0.0,6.0,11.544
5,A2,45.0,6.0,11.544
5,A3,110.52,1.56,11.544
5,A4,135.0,6.0,11.544
5,A5,180.0,6.0,11.544
5,A6,225.0,6.0,11.544
5,A7,290.51,1.56,11.544
5,A8,315.0,6.0,11.544
6,A1,352.86,3.09,12.0
6,A2,59.36,3.04,12.0
6,A3,95.57,1.95,12.0
6,A4,135.0,6.0,12.0
6,A5,167.96,3.93,12.0
6,A6,225.0,6.0,12.0
6,A7,263.37,5.02,12.0
6,A8,315.0,6.0,12.0
7,A1,0.0,6.0,12.6665
7,A2,45.0,6.0,12.6665
7,A3,99.6,4.19,12.6665
7,A4,135.0,6.0,12.6665
7,A5,180.0,6.0,12.6665
7,A6,225.0,6.0,12.6665
7,A7,279.59,4.19,12.6665
7,A8,315.0,6.0,12.6665
8,A1,355.81,2.96,12.8305
8,A2,44.14,2.85,12.8305
8,A3,58.42,3.64,12.8305
8,A4,144.72,3.12,12.8305
8,A5,173.85,3.97,12.8305
8,A6,249.72,3.54,12.8305
8,A7,286.1,3.61,12.8305
8,A8,238.28,0.36,12.8305
9,A1,0.0,6.0,13.5295
9,A2,56.97,4.39,13.5295
9,A3,57.95,2.67,13.5295
9,A4,135.0,6.0,13.5295
9,A5,165.71,2.37,13.5295
9,A6,242.31,4.52,13.5295
9,A7,246.44,1.51,13.5295
9,A8,315.83,1.65,13.5295
10,A1,12.54,4.47,13.918
10,A2,45.0,6.0,13.918
10,A3,103.61,3.72,13.918
10,A4,123.28,4.31,13.918
10,A5,207.88,1.51,13.918
10,A6,229.27,2.94,13.918
10,A7,266.39,4.68,13.918
10,A8,346.37,2.49,13.918
11,A1,0.0,6.0,14.623
11,A2,24.82,1.62,14.623
11,A3,108.08,2.76,14.623
11,A4,135.0,6.0,14.623
11,A5,180.0,6.0,14.623
11,A6,241.88,3.03,14.623
11,A7,270.0,6.0,14.623
11,A8,322.23,1.03,14.623
12,A1,0.0,0.0,15.172
12,A2,45.0,6.0,15.172
12,A3,90.0,6.0,15.172
12,A4,135.0,6.0,15.172
12,A5,180.0,6.0,15.172
12,A6,225.0,6.0,15.172
12,A7,270.0,6.0,15.172
12,A8,315.0,6.0,15.172
13,A1,0.0,6.0,15.5795
13,A2,45.0,6.0,15.5795
13,A3,80.6,2.14,15.5795
13,A4,135.0,6.0,15.5795
13,A5,180.0,6.0,15.5795
13,A6,225.0,6.0,15.5795
13,A7,260.6,2.14,15.5795
13,A8,315.0,6.0,15.5795
14,A1,0.0,0.0,16.12
14,A2,45.0,6.0,16.12
14,A3,90.0,6.0,16.12
14,A4,135.0,6.0,16.12
14,A5,180.0,6.0,16.12
14,A6,225.0,6.0,16.12
14,A7,270.0,6.0,16.12
14,A8,315.0,6.0,16.12
15,A1,0.0,6.0,11.915
15,A2,45.0,6.0,11.915
15,A3,83.34,3.98,11.915
15,A4,135.0,6.0,11.915
15,A5,180.0,6.0,11.915
15,A6,225.0,6.0,11.915
15,A7,263.33,3.98,11.915
15,A8,315.0,6.0,11.915
16,A1,0.0,6.0,13.446
16,A2,65.13,1.39,13.446
16,A3,90.0,6.0,13.446
16,A4,135.0,6.0,13.446
16,A5,180.0,6.0,13.446
16,A6,245.13,1.39,13.446
16,A7,270.0,6.0,13.446
16,A8,315.0,6.0,13.446
17,A1,0.0,0.0,13.793
17,A2,45.0,6.0,13.793
17,A3,90.0,6.0,13.793
17,A4,135.0,6.0,13.793
17,A5,180.0,6.0,13.793
17,A6,225.0,6.0,13.793
17,A7,270.0,6.0,13.793
17,A8,315.0,6.0,13.793
18,A1,0.0,0.0,14.403
18,A2,45.0,6.0,14.403
18,A3,90.0,6.0,14.403
18,A4,135.0,6.0,14.403
18,A5,180.0,6.0,14.403
18,A6,225.0,6.0,14.403
18,A7,270.0,6.0,14.403
18,A8,315.0,6.0,14.403
