Group,N_Targets,RA_center,DEC_center,Median_Jmag
1,1,104.927699,-7.848749,10.0600004196167
2,1,104.927699,-7.848749,12.14799976348877
3,3,104.927699,-7.848749,13.496000289916992
4,1,104.927699,-7.848749,13.847000122070312
5,4,104.9146085,-7.843888,14.445500373840332
6,3,104.927699,-7.848749,15.095000267028809
7,6,104.927699,-7.848749,15.456000328063967
8,1,104.927699,-7.848749,15.406000137329102
9,5,104.927699,-7.848749,15.833999633789062
10,3,104.927699,-7.848749,16.63599967956543
11,1,104.927699,-7.848749,16.586999893188477
12,4,104.927699,-7.848749,16.98799991607666
