Group,N_Targets,RA_center,DEC_center,Median_Jmag
1,1,83.717741,-5.552341,8.457
2,1,83.730403,-5.506137,8.851
3,1,83.735344,-5.526717,10.324
4,3,83.73977599999999,-5.607630666666668,11.01
5,2,83.67677900000001,-5.6138895,11.544
6,5,83.73969120000001,-5.5714402,12.0
7,2,83.7018905,-5.6005345,12.6665
8,8,83.70481487500001,-5.5923416249999995,12.8305
9,6,83.68225666666667,-5.587071666666667,13.529499999999999
10,7,83.68565128571427,-5.591371285714286,13.918
11,4,83.69782500000001,-5.61873475,14.623000000000001
12,1,83.66297,-5.644254,15.172
13,2,83.73148950000001,-5.544409,15.5795
14,1,83.716456,-5.623391,16.12
15,2,83.7077645,-5.573218,11.915
16,2,83.627556,-5.6075680000000006,13.446
17,1,83.74275,-5.640504,13.793
18,1,83.682687,-5.593529,14.403
