Group,GAIA_Source_ID,RA_HMS,DEC_DMS,RA_deg,DEC_deg,Jmag,Offset_arcmin
1,3052403918355013632,06h59m38.88576s,-07d51m26.4672s,104.912024,-7.857352,10.0600004196167,1.0548641343159124
2,3052404090153716096,06h59m29.23632s,-07d51m02.9196s,104.871818,-7.850811,12.14799976348877,3.266241130220732
3,3052403540397878656,06h59m50.35176s,-07d50m55.4964s,104.959799,-7.848749,13.583000183105469,1.971169901842902
3,3052404193232919936,06h59m32.12304s,-07d50m01.2408s,104.883846,-7.833678,13.496000289916992,2.675095311541804
3,3052403677836822656,06h59m56.91528s,-07d49m47.3556s,104.987147,-7.829821,13.326000213623049,3.7468685991735664
4,3052403952714746752,06h59m41.2008s,-07d51m02.8116s,104.92167,-7.850781,13.847000122070312,0.35905826469904695
5,3052403883995267968,06h59m43.36776s,-07d51m03.0168s,104.930699,-7.850838,14.428000450134276,0.3158961592061586
5,3052404227592655104,06h59m35.64432s,-07d50m12.7068s,104.898518,-7.836863,14.329999923706056,1.7886498885117188
5,3052404296312120576,06h59m49.70616s,-07d50m12.9768s,104.957109,-7.836938,14.463000297546388,1.9156983312192
5,3052404021434235904,06h59m31.63416s,-07d51m12.6576s,104.881809,-7.853516,14.642000198364258,2.6910516542769014
6,3052403883995270272,06h59m42.15048s,-07d51m14.9688s,104.925627,-7.854158,15.083000183105469,0.40938752683265256
6,3052404223288423552,06h59m34.06248s,-07d50m01.5936s,104.891927,-7.833776,15.095000267028809,2.2208832127994076
6,3052403639172861696,06h59m52.38456s,-07d50m32.3088s,104.968269,-7.842308,15.154999732971191,2.4918901949681
7,3052404261952389248,06h59m44.1492s,-07d51m00.8964s,104.933955,-7.850249,15.416000366210938,0.4656378426959943
7,3052404120209192192,06h59m36.70008s,-07d50m58.5636s,104.902917,-7.849601,15.699000358581545,1.4175086982913983
7,3052403506038143488,06h59m48.06984s,-07d51m22.7484s,104.950291,-7.856319,15.449000358581545,1.5026244256291466
7,3052404154569858176,06h59m37.82256s,-07d49m50.1492s,104.907594,-7.830597,15.729000091552734,1.5174467711717283
7,3052403471678399872,06h59m53.76744s,-07d51m01.386s,104.974031,-7.850385,15.282999992370604,2.821097703700909
7,3052404090153712128,06h59m30.86688s,-07d50m59.5104s,104.878612,-7.849864,15.463000297546388,2.8598374290553403
8,3052403677836825344,06h59m55.6404s,-07d50m03.5448s,104.981835,-7.834318,15.406000137329102,3.372173228473769
9,3052404257648148480,06h59m43.88808s,-07d50m48.1596s,104.932867,-7.846711,15.833999633789062,0.3711486811741698
9,3052403948410503808,06h59m39.7572s,-07d50m43.4652s,104.915655,-7.845407,15.883999824523926,0.6652690984123542
9,3052404223288428928,06h59m37.38432s,-07d49m41.0952s,104.905768,-7.828082,15.876999855041504,1.6993352552667655
9,3052403506038144256,06h59m48.73176s,-07d51m40.986s,104.953049,-7.861385,15.805999755859377,1.7783193159508714
9,3052404017129969408,06h59m32.29488s,-07d51m24.8652s,104.884562,-7.856907,15.824000358581545,2.566399486129888
10,3052404326367631232,06h59m42.02568s,-07d50m24.4752s,104.925107,-7.840132,16.57699966430664,0.44651338581656863
10,3052403845331265664,06h59m42.64776s,-07d51m58.5576s,104.927699,-7.866266,16.72800064086914,1.1328846930582765
10,3052403501733891968,06h59m50.3724s,-07d51m31.2624s,104.959885,-7.858684,16.63599967956543,2.0872270257837804
11,3052403673532614912,06h59m54.234s,-07d49m43.0896s,104.975975,-7.828636,16.586999893188477,3.1401313761632883
12,3052404257649473152,06h59m47.25288s,-07d51m07.8516s,104.946887,-7.852181,16.952999114990234,1.2356496098400147
12,3052403536094559872,06h59m51.85656s,-07d50m47.8572s,104.966069,-7.846627,17.023000717163086,2.3426945694082097
12,3052404085849459072,06h59m30.88104s,-07d50m35.9988s,104.878671,-7.843333,16.75200080871582,2.8630500702358934
12,3052403639172873216,06h59m54.1512s,-07d49m53.2308s,104.97563,-7.831453,17.06999969482422,3.064035014839816
