Group,GAIA_Source_ID,RA_HMS,DEC_DMS,RA_deg,DEC_deg,Jmag,Offset_arcmin
1,3017265515291765760,05h34m52.25784s,-05d33m08.4276s,83.717741,-5.552341,8.457,2.7858808042388934
2,3017265961968363904,05h34m55.29672s,-05d30m22.0932s,83.730403,-5.506137,8.851,5.654036988965647
3,3017265760107995904,05h34m56.48256s,-05d31m36.1812s,83.735344,-5.526717,10.324,4.614541460760383
4,3017262942609459200,05h34m59.88336s,-05d36m39.5676s,83.749514,-5.610991,11.114,3.0012572093217016
4,3017262354195919872,05h34m46.29528s,-05d39m07.8516s,83.692897,-5.652181,10.878,3.4164091317982805
4,3017264660596368000,05h35m06.46008s,-05d33m34.992s,83.776917,-5.55972,11.01,4.994482815737988
5,3017262839530248192,05h34m48.3096s,-05d37m22.8612s,83.70129,-5.623017,11.686,1.6269712707139816
5,3017263492365279616,05h34m36.54432s,-05d36m17.1432s,83.652268,-5.604762,11.402,2.9930160902433625
6,3017263939041875712,05h34m37.46616s,-05d34m51.9528s,83.656109,-5.581098,11.807,2.8576874466477133
6,3017251088499723776,05h35m00.82464s,-05d38m08.0376s,83.753436,-5.635566,11.9,3.90463576915085
6,3017264626236631936,05h35m05.33568s,-05d34m28.542s,83.772232,-5.574595,12.029,4.407640775132801
6,3017265760107995648,05h34m55.98024s,-05d31m13.0368s,83.733251,-5.520288,12.0,4.9149914407660305
6,3017265244711916672,05h35m08.02272s,-05d32m44.3544s,83.783428,-5.545654,12.038,5.742036602503083
7,3017263767243449600,05h34m31.83408s,-05d35m19.9896s,83.632642,-5.588886,12.604,4.138895013420199
7,3017252664749740160,05h35m05.07336s,-05d36m43.8588s,83.771139,-5.612183,12.729,4.266097085759254
8,3017263148767891456,05h34m47.91264s,-05d35m43.9008s,83.699636,-5.595528,13.075,0.11905976442944555
8,3017251054139986560,05h34m56.40144s,-05d38m05.28s,83.735006,-5.6348,12.756,3.0703874065508403
8,3017264798035326336,05h34m57.14616s,-05d33m29.5092s,83.738109,-5.558197,12.811,3.1421082609489384
8,3017265588309311360,05h34m48.28464s,-05d32m35.1276s,83.701186,-5.543091,12.85,3.1687836691311464
8,3017263458005541632,05h34m35.81592s,-05d36m45.9864s,83.649233,-5.612774,12.964,3.286430698771411
8,3017264140902280064,05h34m35.20152s,-05d34m32.2752s,83.646673,-5.575632,12.763,3.497867283696004
8,3017250607463391360,05h34m50.86656s,-05d39m29.2824s,83.711944,-5.658134,12.762,3.7846886068718875
8,3017264832395061632,05h35m01.61568s,-05d33m38.0772s,83.756732,-5.560577,13.075,3.915828038191121
9,3017262461573127040,05h34m46.092s,-05d37m31.2492s,83.69205,-5.625347,13.649,1.8563149164531814
9,3017264763675591168,05h34m52.84872s,-05d33m48.3264s,83.720203,-5.563424,13.41,2.2432892718240485
9,3017263492362315264,05h34m38.18784s,-05d35m49.6068s,83.659116,-5.597113,13.739,2.5375709393173542
9,3017264179558632320,05h34m39.11616s,-05d34m02.37s,83.662984,-5.567325,13.7,2.873306572016508
9,3017264896816704000,05h34m58.5324s,-05d32m49.8696s,83.743885,-5.547186,13.3,3.862885048628616
9,3017263384988198784,05h34m27.67248s,-05d37m19.326s,83.615302,-5.622035,13.323,5.386009608367294
10,3017262732153080704,05h34m41.72616s,-05d36m48.7836s,83.673859,-5.613551,13.897,1.9657326921337734
10,3017262938311602944,05h34m59.09736s,-05d36m21.4956s,83.746239,-5.605971,13.918,2.733501831284714
10,3017264312701150336,05h34m42.19488s,-05d33m03.5928s,83.675812,-5.550998,14.094,3.1031403895557235
10,3017251054139985792,05h34m59.034s,-05d37m50.7972s,83.745975,-5.630777,13.959,3.376597547819749
10,3017263354926327808,05h34m35.59872s,-05d37m24.0852s,83.648328,-5.623357,14.076,3.5819074938436066
10,3017265897545538688,05h34m48.45552s,-05d31m07.2048s,83.701898,-5.518668,13.849,4.63410556012217
10,3017263698523711872,05h34m25.78752s,-05d35m46.5972s,83.607448,-5.596277,13.873,5.62188323307429
11,3017263178829773568,05h34m50.21688s,-05d35m39.03s,83.709237,-5.594175,14.582,0.4680170409050955
11,3017263110110294912,05h34m44.94816s,-05d36m18.7056s,83.687284,-5.605196,14.664,1.0203438760983803
11,3017251054138574080,05h34m58.02168s,-05d37m58.8216s,83.741757,-5.633006,14.699,3.272226827418469
11,3017262530289655424,05h34m36.72528s,-05d38m33.2232s,83.653022,-5.642562,14.529,4.031057139757734
12,3017262525997209856,05h34m39.1128s,-05d38m39.3144s,83.66297,-5.644254,15.172,3.7061225534600695
13,3017264106545188608,05h34m47.06616s,-05d33m00.864s,83.696109,-5.55024,15.626,2.759259934701465
13,3017264931176444160,05h35m04.0488s,-05d32m18.8808s,83.76687,-5.538578,15.533,5.198559874945932
14,3017262766512812288,05h34m51.94944s,-05d37m24.2076s,83.716456,-5.623391,16.12,1.8729095279756516
15,3017263767243185152,05h34m33.95832s,-05d34m51.33s,83.641493,-5.580925,11.856,3.6997194848993233
15,3017264626236630656,05h35m05.76864s,-05d33m55.8396s,83.774036,-5.565511,11.974,4.694537794481266
16,3017263561084755584,05h34m35.68128s,-05d35m52.1736s,83.648672,-5.597826,13.35,3.1622891068914227
16,3017263595444498048,05h34m25.5456s,-05d37m02.316s,83.60644,-5.61731,13.542,5.825299558196559
17,3017250981122642560,05h34m58.26s,-05d38m25.8144s,83.74275,-5.640504,13.793,3.6332841954332085
18,3017263904679166464,05h34m43.84488s,-05d35m36.7044s,83.682687,-5.593529,14.403,1.1379621691237936
